synonym	primary
TTLL4	TTLL4
HILPDA	HILPDA
NPAS3	NPAS3
ZNF416	ZNF416
DDX23	DDX23
GLDN	GLDN
OR4C46	OR4C46
ACTN1	ACTN1
LCE1B	LCE1B
GCKR	GCKR
FAM161B	FAM161B
CYP2E1	CYP2E1
BICDL1	BICDL1
NRBP2	NRBP2
OR10AD1	OR10AD1
KIAA2012	KIAA2012
DOK1	DOK1
AFTPH	AFTPH
APOBEC3G	APOBEC3G
KLF18	KLF18
CSNK1A1L	CSNK1A1L
RPL36AL	RPL36AL
COA5	COA5
CD24	CD24
VPS4A	VPS4A
SPEM3	SPEM3
BICC1	BICC1
RRAGD	RRAGD
UBE3A	UBE3A
SRY	SRY
ACVRL1	ACVRL1
SOAT2	SOAT2
ELP3	ELP3
CIAO3	CIAO3
OR5A2	OR5A2
TTC16	TTC16
TBL3	TBL3
KCNK3	KCNK3
FAM216A	FAM216A
